Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
Brooklyn,Bushwick (East),NE Knickerbocker Avenue & Linden Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6973,
Brooklyn,Crown Heights (North),NW Albany Avenue & Bergen Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,6850,
Brooklyn,East Williamsburg,Sure We Can,"219 McKibben Street, Brooklyn, NY 11206",Sure We Can,Year Round,Monday-Saturday (Start Time: 7:00 AM - End Time:  Monday-Friday at 5:00PM; Saturday at 1:00PM),"Not accepted: meat, bones, or dairy",http://www.surewecan.org/composting,301,34,,,,40.705441,-73.93882,90,6931,POINT (-73.93882 40.705441)
Brooklyn,East New York-New Lots,East New York Farms: UCC Youth Farm,613 New Lots Avenue,East New York Farms,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://ucceny.org/enyf/,305,42,,,,40.66547,-73.88668,75,7078,POINT (-73.88668 40.66547)
Brooklyn,Bushwick (West),NE St. Nicholas Avenue & Hart Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6946,
Queens,Old Astoria-Hallets Point,SW 31st Avenue & 23rd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7063,
Brooklyn,Bedford-Stuyvesant (East),NE Lewis Avenue & Putnam Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,6836,
Bronx,Tremont,NE East 176th Street & Washington Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,,,,,,48,7100,
Brooklyn,Bedford-Stuyvesant (East),SW Patchen Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,6831,
Queens,Queensbridge-Ravenswood-Dutch Kills,NE 35th Avenue & 21st Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,,,,,,114,7037,
Brooklyn,Madison,Kings Highway and East 16th Street,"Kings Highway and East 16th Street, northeast corner",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,48,,,,40.60927,-73.9573422,61,6787,POINT (-73.9573422 40.60927)
Brooklyn,Fort Greene,Fort Greene Greenmarket,Washington Park and Myrtle Ave,GrowNYC,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,302,35,,,,40.69288,-73.97391,88,6904,POINT (-73.97391 40.69288)
Manhattan,Upper East Side-Carnegie Hill,East 96th Street Food Scrap Drop-off,96th St & Lexington Ave,GrowNYC,Year Round,Fridays (Start Time: 7:30 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,108,5,,,,40.785792,-73.950833,19,7123,POINT (-73.950833 40.785792)
Brooklyn,Bushwick (East),NE Bushwick Avenue & Halsey Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6963,
Brooklyn,Bedford-Stuyvesant (West),NE Bedford Avenue & Clifton Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,6891,
Manhattan,Upper West Side-Lincoln Square,Tucker Square Thursday Greenmarket,66th St and Columbus Ave.,GrowNYC,Year Round,Thursdays (Start Time: 8:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,107,6,149,,,40.773404,-73.981848,20,6731,POINT (-73.981848 40.773404)
Queens,Astoria (Central),SE 33rd Street & 31st Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7052,
Brooklyn,Madison,Avenue U and East 16th Street,"Avenue U and East 16th Street, southeast corner",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,48,,,,40.5988666,-73.9553874,61,6788,POINT (-73.9553874 40.5988666)
Bronx,Mount Hope,NE East 181st Street & Morris Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,205,14,,,,,,46,7095,
Queens,Astoria (Central),SE 31st Avenue & 35th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7051,
Brooklyn,Prospect Heights,Prospect Heights Food Scrap Drop-off,Park Place & Carlton Ave,GrowNYC,Year Round,Thursdays (Start Time: 8:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,308,35,,,,40.67741,-73.972226,78,6773,POINT (-73.972226 40.67741)
Queens,Old Astoria-Hallets Point,NW 8th Street & Astoria Blvd,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7068,
Brooklyn,Bushwick (West),NW Knickerbocker Avenue & Suydam Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,,,,,,83,6941,
Staten Island,New Dorp-Midland Beach,*CLOSED FOR THE SEASON* Midland Beach,Bedford Ave and Mason Ave,Snug Harbor Youth,Seasonal,Wednesdays (Start Time: 3:30 PM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",https://snug-harbor.org/,502,50,,,,40.575904,-74.09677,122,7183,POINT (-74.09677 40.575904)
Manhattan,Washington Heights (South),SW Audubon Avenue & West 169th St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,33,6919,
Brooklyn,Prospect Heights,NW Vanderbilt Avenue & Plaza Street East,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,6872,
Bronx,Bedford Park,Lehman College,"Gate 8: Bedford Park Blvd West & Paul Ave Bronx, NY 10468",Volunteers at Lehman College,Year Round,Mondays (Start Time: 9:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",http://www.lehman.cuny.edu/,207,11,,,,40.873838,-73.895344,52,7110,POINT (-73.895344 40.873838)
Brooklyn,The Evergreens Cemetery,Aberdeen Community Garden,"91 Aberdeen St, Brooklyn, 11207",BK Rot,Year Round,"Sundays (Start Time: 1:00 PM - End Time:  4PM (Dec-Feb), 5PM (Mar.-Nov.))","Not accepted: meat, bones, or dairy",www.bkrot.org,304,37,,,,40.6840598,-73.9050492,83,6978,POINT (-73.9050492 40.6840598)
Brooklyn,Prospect Heights,NE Washington Avenue & St. Johns Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,6877,
Brooklyn,Bedford-Stuyvesant (West),SW Throop Avenue & Halsey Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,6892,
Brooklyn,Bushwick (East),NE Bushwick Avenue & Himrod Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,,,,,,83,6951,
Manhattan,Hell's Kitchen,Hudson River Park Pier 96 Boathouse at W 55 St,Park Pier 96 Boathouse at W 55 St,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,6,,,,40.771,-73.995372,18,6732,POINT (-73.995372 40.771)
Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills,NW Hill Street & Tompkins Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,,,,,,120,7178,
Brooklyn,Bushwick (West),NW Central Avenue & Troutman Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,,,,,,83,6936,
Manhattan,Upper East Side-Yorkville,Asphalt Green Food Scrap Drop-off,East 91st St & York Ave,GrowNYC,Year Round,Sundays (Start Time: 7:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,108,5,,,,40.779055,-73.944665,19,7124,POINT (-73.944665 40.779055)
Manhattan,East Harlem (North),NE East 130th Street & 5th Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,9,,,,,,25,6804,
Queens,Old Astoria-Hallets Point,SE 27 Avenue & 1 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7067,
Manhattan,Hamilton Heights-Sugar Hill,SW West 138th Street & Amsterdam Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,,,,,,30,6745,
Bronx,Tremont,Mary Mitchell Center,"2007 Mapes Ave, Bronx, NY 10460",Mary Mitchell Family & Youth Center,Year Round,Monday-Friday (Start Time: 9:00 AM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",http://themarymitchellfyc.org/,206,15,,,,40.844901,-73.887287,48,7099,POINT (-73.887287 40.844901)
Brooklyn,Greenpoint,North Brooklyn Compost,"Russell Street &, Nassau Ave, Brooklyn, NY 11222",North Brooklyn Compost,Year Round,Sundays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/nbkcompost/?hl=en,301,33,,,,40.724493,-73.94375,94,6983,POINT (-73.94375 40.724493)
Manhattan,East Harlem (North),NE East 120 Street & Madison Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,9,,,,,,25,6803,
Brooklyn,Bushwick (East),NW Bushwick Avenue & Cornelia Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6964,
Manhattan,East Harlem (South),NW East 106th Street & Park Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,,,,,,23,6818,
Brooklyn,East New York (North),East New York Farms: Nehemiah Ten Community Garden,"567 Barbey St, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,42,,,,40.668722,-73.885866,75,7082,POINT (-73.885866 40.668722)
Brooklyn,Bedford-Stuyvesant (West),SW Tompkins Avenue & Myrtle Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,6882,
Manhattan,East Village,*CLOSED FOR THE SEASON* La Plaza Cultural Community Garden,674 East 9th Street,La Plaza Cultural Community Garden,April-November,Saturdays and Sundays (Start Time: 2:00 PM - End Time:  4:00 PM),"Please carefully read instructions here: https://bit.ly/laplazadropoff; Not accepted: meat, bones, or dairy",https://bit.ly/laplazadropoff,103,2,,,,40.7253498,-73.9786278,9,6924,POINT (-73.9786278 40.7253498)
Brooklyn,Bedford-Stuyvesant (East),SE Lewis Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,6835,
Queens,Flushing-Willets Point,Queens Botanical Garden Public Food Scrap Drop-Off,"Parking Garden at QBG 42-80 Crommelin Avenue, Flushing, NY 11355",NYC Compost Project Hosted by Queens Botanical Garden,Year Round,Every day (Start Time: 8:00 AM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",,407,20,,,,40.75159,-73.82981,109,7156,POINT (-73.82981 40.75159)
Brooklyn,Marine Park-Mill Basin-Bergen Beach,Genovesi Environmental Study Center,"7151 Avenue T, Brooklyn, NY 11234",Genovesi Environmental Study Center,Year Round,Monday-Friday (Start Time: 9:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",https://www.schools.nyc.gov/learning/student-journey/experiential-learning/genovesi-environmental-study-center,318,46,,,,40.6221465,-73.9084944,63,7146,POINT (-73.9084944 40.6221465)
Queens,Jackson Heights,Jackson Heights Greenmarket,79th St and Northern Blvd,GrowNYC,Year Round,Sundays (Start Time: 8:30 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,403,25,285,,,40.753687,-73.886999,115,7024,POINT (-73.886999 40.753687)
Manhattan,Harlem (North),NW West 135 Street & 5th Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,32,6792,
Brooklyn,Bedford-Stuyvesant (West),NE Bedford Avenue & Herkimer Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,6887,
Bronx,Norwood,Norwood,E Gun Hill Road and Dekalb Ave. (SE corner),GrowNYC,Year Round,Thursdays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,207,11,,,,40.88201,-73.880346,52,7114,POINT (-73.880346 40.88201)
Brooklyn,Bay Ridge,4th Avenue Presbyterian Church,"6753 4th Avenue, Brooklyn, NY 11220",4th Avenue Presbyterian Church,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"Not accepted: meat, bones, or dairy",,310,47,,,,40.635514,-74.022767,68,6760,POINT (-74.022767 40.635514)
Bronx,Concourse-Concourse Village,New Roots Community Farm,"670 Grand Concourse, The Bronx, NY 10451",GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,204,16,,,,40.82135,-73.92506,44,6992,POINT (-73.92506 40.82135)
Manhattan,Manhattanville-West Harlem,St. Mary's Harlem,"521 W 126th St, New York, NY 10027",GrowNYC,Year Round,Fridays (Start Time: 8:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",stmarysharlem.org,109,7,,,,40.8149687,-73.9560903,26,6755,POINT (-73.9560903 40.8149687)
Manhattan,Washington Heights (North),NW Cabrini Blvd & West 187st Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,34,6909,
Queens,South Ozone Park,Office of Assemblymember Anderson,131-15 Rockaway Boulevard,Assemblymember Anderson,Year Round,Tuesdays and Wednesdays (Start Time: 12:00 PM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",https://nyassembly.gov/mem/Khaleel-M-Anderson,410,28,,,,40.6749729,-73.8066806,106,7163,POINT (-73.8066806 40.6749729)
Queens,Astoria (Central),Astoria Pug: Most Precious Blood,"32-23 36th St, Queens, NY 11106 (inside parking lot)",Astoria Pug,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,401,22,,,,40.75914,-73.92146,114,7047,POINT (-73.92146 40.75914)
Queens,Elmhurst,St. James Compost,"86-02 Broadway, Elmhurst, NY 11373",Volunteers at St. James Compost,Year Round,Every day (Start Time: 9:00 AM - End Time:  6:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/stjamescompost/,404,25,,,,40.73833,-73.87775,110,7019,POINT (-73.87775 40.73833)
Staten Island,Port Richmond,Venture House,"1442 Castleton Avenue, 10302",Snug Harbor Youth,Year Round,Fridays (Start Time: 10:30 AM - End Time:  2:30 PM),"Not accepted: meat, bones, or dairy",snug-harbor.org,501,49,,,,40.634203,-74.131071,121,7151,POINT (-74.131071 40.634203)
Bronx,University Heights (South)-Morris Heights,SE West Tremont Avenue & University Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,205,14,,,,,,46,7092,
Manhattan,Financial District-Battery Park City,Bowling Green Greenmarket,"Broadway at Battery Place, New York, NY 10004",NYC Compost Project Hosted by Earth Matter NY,Year Round,Tuesdays (Start Time: 8:00 AM - End Time:  11:00 AM),,,101,1,,,,40.7046367,-74.0137794,1,6717,POINT (-74.0137794 40.7046367)
Brooklyn,Bushwick (East),NW Central Avenue & Green Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6955,
Brooklyn,Williamsburg,Domino Park,"15 River Street Brooklyn, NY 11249",Staff at Domino Park,Year Round,"Mondays and Thursdays (Start Time: Mondays, 10:00 AM; Thursdays, 6:00 PM - End Time:  Mondays, 12:00 PM, Thursdays, 8:00 PM)","Not accepted: meat, bones, or dairy",http://www.dominopark.com/,301,33,,,,40.714448,-73.968049,90,6932,POINT (-73.968049 40.714448)
Bronx,Mott Haven-Port Morris,Friends of Brook Park Community Garden,"494 E 141st St, The Bronx, NY 10454",Volunteers at Friends of Brook Park Community Garden,Year Round,Saturdays and Sundays (Start Time: 10:00 AM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",,201,8,,,,40.8097074,-73.9185797,40,6987,POINT (-73.9185797 40.8097074)
Brooklyn,Brownsville,Abib Newborn Learning Garden,"495 Osborn St, Brooklyn, NY 11212",Volunteers at Abib Newborn Learning Garden,Year Round,"Monday, Wednesday, Fridays (Start Time: 10:00 AM - End Time:  6:00 PM)","Not accepted: meat, bones, or dairy",https://cityparksfoundation.org/learning-gardens/,316,41,,,,40.6595266,-73.90591,73,6823,POINT (-73.90591 40.6595266)
Bronx,Kingsbridge Heights-Van Cortlandt Village,SW Heath Avenue & West Kingsbridge Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,208,14,,,,,,50,7119,
Manhattan,Manhattanville-West Harlem,NW West 133 Street	& Broadway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,,,,,,30,6749,
Bronx,Fordham Heights,NW Valentine Avenue & East 183rd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,205,15,,,,,,46,7087,
Brooklyn,Crown Heights (North),NE Kingston Avenue & Dean Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,6855,
Manhattan,The Battery-Governors Island-Ellis Island-Liberty Island,Governors Island Soissons Ferry Landing,Adjacent to Soissons Landing and Taco Vista,NYC Compost Project Hosted by Earth Matter NY,Year Round,Whenever the Island is open to the public  (check ferry schedule) (Start Time: Check ferry schedule - End Time:  Check ferry schedule),,www.earthmatter.org,101,1,,,,40.69281,-74.0148306,1,6723,POINT (-74.0148306 40.69281)
Manhattan,Upper West Side (Central),West Side Community Garden,"West of 110 West 90th street, New York, NY 10024 (between Columbus Ave and Amsterdam Ave)",West Side Community Garden,Year Round,Sundays 11 am - 12 pm,"Receptacles are placed outside the West Side Community Garden gate. No rice, bread, pasta, and grains. The drop-off will be closed during inclement weather including rain and snow. Please check www.instagram.com/westsidecommunitygarden for closure announ",www.instagram.com/westsidecommunitygarden,107,6,,,,40.7895156,-73.9716111,24,6728,POINT (-73.9716111 40.7895156)
Brooklyn,Crown Heights (North),Walt L Shamel Community Garden,"1097 Dean St, Brooklyn, NY 11216",Volunteers at Walt L Shamel Community Garden,End of March - January 30,Saturdays and Sundays (Start Time: 12:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/WaltLShamelCommunityGarden/,308,35,,,,40.67744,-73.953657,77,6860,POINT (-73.953657 40.67744)
Manhattan,West Village,Hudson River Park's Pier 51 at Horatio St.,Pier 51 at Horatio St. near playground,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,3,,,,40.738228,-74.0104549,6,6899,POINT (-74.0104549 40.738228)
Brooklyn,Bushwick (East),NW Central Avenue & Moffat Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6960,
Brooklyn,Crown Heights (North),NE Kingston Avenue & Eastern Parkway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,6867,
Queens,Astoria (East)-Woodside (North),NW Broadway & 51st Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,,,,,,114,7028,
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Carroll Gardens Greenmarket,Smith St and 1st Pl,GrowNYC,Year Round,Sundays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,306,39,,,,40.679954,-73.99517,76,6781,POINT (-73.99517 40.679954)
Staten Island,West New Brighton-Silver Lake-Grymes Hill,Grymes Hill Wagner College,"1 Campus Rd, Staten Island, NY 10301",Wagner College,September-June,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",wagner.edu,501,49,,,,40.613444,-74.095028,120,7175,POINT (-74.095028 40.613444)
Bronx,Highbridge,Target Bronx Community Garden,1024 Woodycrest Avenue,Target Bronx Community Garden,Year Round,Mondays (Start Time: 10:00 AM - End Time:  5:00 PM),"Bins at gate during winter months. Not accepted: meat, bones, or dairy",www.targetbronxcommunitygarden.org,204,16,,,,40.83316,-73.92728,44,6996,POINT (-73.92728 40.83316)
Manhattan,Harlem (North),NW West 126th Street & Adam Clayton Powell Jr Blvd,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,28,6796,
Bronx,Pelham Bay-Country Club-City Island,NE City Island Avenue & Winter Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,,,,,,45,7131,
Brooklyn,Bedford-Stuyvesant (East),NW Howard Avenue & Putnam Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,41,,,,,,81,6828,
Bronx,Morrisania,Montefiore,871 Prospect Ave,GrowNYC,Year Round,Fridays (Start Time: 11:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,203,17,133,2026770090,2005014,40.820667,-73.901845,42,7015,POINT (-73.901845 40.820667)
Queens,Astoria (North)-Ditmars-Steinway,Astoria Pug: 41st Street,Ditmars Boulevard and 41st Street,Astoria Pug,Year Round,Mondays (Start Time: 8:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,401,22,,,,40.7724122,-73.9053388,114,7043,POINT (-73.9053388 40.7724122)
Brooklyn,Windsor Terrace-South Slope,Brooklyn Hope Church,"120 16th Street, Brooklyn, New York 11215",Brooklyn Hope Church,Year Round,Sundays (Start Time: 12 pm - End Time:  2 pm),"Accepts meat, bones, and dairy",Brooklynhope.org,307,38,,,,40.6657639,-73.9918034,72,6764,POINT (-73.9918034 40.6657639)
Brooklyn,East Flatbush-Rugby,Wyckoff Farmhouse Museum,"5816 Clarendon Rd, Brooklyn, NY 11203",Staff at Wychoff Farmhouse Museum,Year Round (except February),Every day (Start Time: Dawn - End Time:  Dusk),"Not accepted: meat, bones, or dairy",wyckoffmuseum.org,317,45,,,,40.64451,-73.92038,67,7075,POINT (-73.92038 40.64451)
Brooklyn,Crown Heights (North),NW Rogers Avenue & Sterling Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,6856,
Manhattan,Financial District-Battery Park City,SmartComposting: John & Williams Streets,John and William Streets (Northwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70888,-74.00721,1,6713,POINT (-74.00721 40.70888)
Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,GrowNYC,Year Round,Wednesdays (Start Time: 8:00 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,106,4,,,,40.752606,-73.969036,17,6928,POINT (-73.969036 40.752606)
